start-date-time,venue-name,event-name,city,tags,duration,venue-address
2019-03-02T21:00:00Z,american legion post 795 (south lake tahoe),space cowboys presents shred the decks,,"breaks, electro house, funky house",WIP,no match
2019-03-02T21:00:00Z,fulton 55 (fresno),tenova (toolroom),,tech house,WIP,875 divisadero st
2019-03-02T21:00:00Z,7th west,"baystation: luny (wile out), jackfruit, rayreck, jbuk, grlgod",oakland,"global bass, club music, jersey club, trap, juke, reggaeton, house, baile funk",WIP,no match
2019-03-02T21:00:00Z,the hatch,so it goes at the hatch,oakland,"tech house, deep house, progressive house",WIP,no match
2019-03-02T21:00:00Z,driftwood,"dark dirty disco: anomalous, sweet tooth, fredness & dj chulada",san francisco,"house, disco",WIP,1225 folsom st
2019-03-02T21:00:00Z,lounge 3411,"forest green's birthday party & cute fang party time w/mochipet, dj denise, forest green, amber leigh, random & dj clairity, max kim the odd guy",oakland,"bass house, electro house, breaks, drum and bass, tech house",WIP,3411 macarthur blvd
2019-03-02T21:00:00Z,3 disciples brewing (santa rosa),northbass: barisone // yungg trip // guidance // 3sum,,"dubstep, tropical bass, drum and bass, bass music",WIP,no match
2019-03-02T21:00:00Z,starline social club,"palace 24 - three year anniversary party! space ghost, chungtech, ebrc",oakland,"funk, disco, house",WIP,2236 martin luther king jr. way
2019-03-02T21:00:00Z,dna lounge,bootie sf: cirque du poleil,san francisco,mashups,WIP,375 11th st
2019-03-02T21:00:00Z,the stud,go bang! disco action w/ david harness + go bang! residents,san francisco,deep house,WIP,399 9th st
2019-03-02T21:00:00Z,dna lounge upstairs,"jungle juice 3: xhale ghost, elevener, sqorch, wolvero, sa, puppet, jester, a.n.t., sisto, dj smokie, splendid, frankiem",san francisco,"jungle terror, dubstep, trap, drum and bass",WIP,375 11th st
2019-03-02T21:30:00Z,slate bar,"harder, better, faster, stronger: blacklight blackout",san francisco,mashup,WIP,2925 16th st
2019-03-02T21:30:00Z,audio,sofi tukker x animal talk showcase,san francisco,pop EDM,WIP,316 11th st
2019-03-02T21:30:00Z,monarch,"kellektiv turmstrasse (diynamic, get physical)",san francisco,tech house,WIP,101 6th st
2019-03-02T21:30:00Z,monarch,kollektiv turmstrasse,san francisco,tech house,WIP,101 6th st
2019-03-02T21:30:00Z,the great northern,set w/ anna,san francisco,"techno, tech house",WIP,119 utah st
2019-03-02T22:00:00Z,origin,jackal & beauz,san francisco,"trap, dubstep",WIP,1538 fillmore st
2019-03-02T22:00:00Z,underground,lift,san francisco,"techno, house",WIP,424 haight st
2019-03-02T22:00:00Z,halcyon,enrico sangiuliano,san francisco,techno,WIP,no match
2019-03-02T22:00:00Z,club six,"fog city pack presents: alpha: jackie house, fawks, astro",san francisco,house,WIP,no match
2019-03-02T22:00:00Z,tba,"derrick may, jeno void, borzu [bo], rooz , max gardner",san francisco,"techno, house",WIP,no match
2019-03-02T22:00:00Z,"ltation: kabayun, sunchild, audiodidakt, symbiot, xipil, michael liu, cosmic lotus",ex,,psytrance,WIP,no match
2019-03-03T02:00:00Z,the endup,elements of house saturday night afterhours feat. ray vazquez,san francisco,deep house,WIP,401 6th st
2019-03-03T13:00:00Z,audio,best day ever w/ oliver heldens,san francisco,"funky house, future house",WIP,316 11th st
2019-03-03T13:00:00Z,the midway,catz n dogz - day party patio,san francisco,"deep house, tech house",WIP,900 marin st
2019-03-03T14:00:00Z,el rio,swagger like us presents dai burger,san francisco,hip-hop,WIP,3158 mission st
2019-03-03T22:00:00Z,f8 1192 folsom,"stamina sundays w/ tc, stamina crew",san francisco,"drum and bass, jungle",WIP,1192 folsom
2019-03-04T19:00:00Z,underground,"vdsf monday nite social club: andre, johnnie walker, dj oh",san francisco,"house, techno, disco, funk, leftfield",WIP,424 haight st
2019-03-05T17:30:00Z,monarch,taco tuesday,san francisco,"house, disco",WIP,101 6th st
2019-03-05T20:00:00Z,republic bar & grill,"bass therapy: ft ab the thief, triple f & more",sacramento,"trap, hip-hop",WIP,no match
2019-03-05T22:00:00Z,monarch,"soundpieces: leroy peppers, uncanney b2b higrade b2b teluryde, funkytown, ryury",san francisco,"dubstep, trap, grime, hip-hop, footwork, juke, halftime drum and bass, house",WIP,101 6th st
2019-03-06T20:00:00Z,rickshaw stop,the kvb / numb.er / houses of heaven,san francisco,"darkwave, synthpunk",WIP,155 fell st
2019-03-06T21:00:00Z,f8 1192 folsom,"housepitality: sunshine jones, tobin ellsworth, groovewell",san francisco,"deep house, funky house",WIP,1192 folsom
2019-03-07T20:00:00Z,bar fluxus,"fluxtuated: jdirra, blk&wht b2b wei, bri, anthony zmoda, danny delay",san francisco,house,WIP,18 harlan place
2019-03-07T21:00:00Z,lowbrau,dive deep featuring jody wisternoff,sacramento,"progressive house, tech house",WIP,no match
2019-03-07T21:00:00Z,f8 1192 folsom,get w/ barisone,san francisco,"hip-hop, club music, bass music",WIP,1192 folsom
